actor_1_name,actor_1_facebook_likes
Josh Gad,1000
Steve Bastoni,234
Kelli Garner,730
Matthew Broderick,2000
Seychelle Gabriel,1000
Philip Seymour Hoffman,22000
Elisabeth Harnois,921
Ty Burrell,3000
Jada Pinkett Smith,851
Toby Stephens,769
Ed Begley Jr.,783
Bruce Willis,13000
John Michael Higgins,957
Sam Shepard,820
Matt Frewer,986
Kevin Rankin,820
Chris Evans,11000
Colin Salmon,766
James D'Arcy,613
Don Johnson,982
Mark Rylance,535
Matt Damon,13000
Jim Parsons,17000
Salma Hayek,4000
Toby Jones,2000
Daniel Radcliffe,11000
Alfre Woodard,1000
Rupert Grint,10000
Miguel Ferrer,688
Ronny Cox,605
Tony Curran,845
Jeremy Renner,10000
Michael Gough,920
Clint Howard,1000
Karen Allen,784
Suraj Sharma,774
Demi Moore,2000
Michael Fassbender,13000
Nathan Lane,886
Vin Diesel,14000
Scott Porter,690
Shelley Conn,273
Morgan Freeman,11000
Natalie Portman,20000
Alain Delon,936
Noel Fisher,833
Phaldut Sharma,39
Jamie Renée Smith,650
Stephen Amell,5000
Tim Blake Nelson,596
Dwayne Johnson,12000
Vincent Schiavelli,811
Heath Ledger,13000
Kate Winslet,14000
James Corden,480
George Peppard,669
Eva Green,6000
Mahadeo Shivraj,383
Jacob Tremblay,681
Jason Patric,673
Sean Hayes,760
Chazz Palminteri,979
Oprah Winfrey,852
Mathew Buck,5
Del Zamora,752
Djimon Hounsou,3000
Cary-Hiroyuki Tagawa,1000
Joe Morton,780
Denzel Washington,18000
Jamie Lee Curtis,2000
Robert De Niro,22000
Vanessa Williams,1000
Eartha Kitt,558
Catherine O'Hara,925
Josh Hutcherson,14000
Jake Busey,660
Abbie Cornish,2000
Frances Conroy,827
Will Ferrell,8000
Ray Winstone,1000
Jamie Kennedy,490
Rosario Dawson,3000
Francesca Capaldi,144
Ben Gazzara,623
Jon Lovitz,11000
Ioan Gruffudd,2000
Milla Jovovich,14000
Chris Noth,962
Frank Welker,2000
Hayley Atwell,2000
Michael Imperioli,873
Alexander Gould,1000
Orlando Bloom,5000
Michael Jeter,693
James Franco,11000
Martin Short,770
Dennis Quaid,2000
Holly Hunter,1000
Christopher Masterson,1000
Logan Lerman,8000
Mei Melançon,191
Will Forte,622
Denis Leary,835
Adam Scott,3000
Bill Murray,13000
Ming-Na Wen,2000
Leonard Nimoy,12000
Bella Thorne,35000
Adam Sandler,11000
Haley Joel Osment,3000
Marsha Thomason,691
Greg Grunberg,833
Curtiss Cook,591
Alun Armstrong,192
Don Cheadle,3000
Anne Hathaway,11000
William Smith,919
Paddy Considine,680
Shirley Henderson,887
Jeff Bennett,283
Caroline Dhavernas,544
Meryl Streep,11000
Al Pacino,14000
Jon Favreau,4000
Bob Hoskins,5000
F. Murray Abraham,670
Li Gong,879
Amber Stevens West,584
Raymond Cruz,672
Roy Scheider,813
Julia Roberts,8000
Anna Kendrick,10000
Larry Miller,611
Sarah Michelle Gellar,4000
Wood Harris,409
Ted Danson,875
Kristen Stewart,17000
Seth MacFarlane,3000
Robert Duvall,3000
Tia Carrere,1000
Elden Henson,577
Roger Rees,1000
Vanessa Redgrave,898
Elizabeth Montgomery,1000
Quincy Jones,340
Charlize Theron,9000
Michael Emerson,2000
Nissim Renard,23
Bruce Greenwood,981
Sylvester Stallone,13000
Charlie Rowe,882
Richard Tyson,743
Brendan Fraser,3000
Fergie,529
Olivia Williams,766
Adam Goldberg,1000
Bob Neill,2
Mia Farrow,563
Pedro Armendáriz Jr.,67
David Oyelowo,1000
Sasha Roiz,795
Sariann Monaco,163
Steve Coogan,1000
Jason Flemyng,1000
Steve Carell,7000
Ariana Richards,610
Jerry Stiller,719
Harold Perrineau,1000
Nicholas Lea,867
Loretta Devine,912
Adam Arkin,374
Ayelet Zurer,745
Tom Selleck,19000
Julia Ormond,919
Bai Ling,582
Connie Nielsen,933
Christopher Meloni,3000
Peter Coyote,548
Raven-Symoné,1000
Mhairi Calvey,906
Albert Brooks,745
Martin Landau,940
David Gant,21
Rory Culkin,710
Rupert Everett,692
Tim Conway,870
Lili Taylor,960
Nicole Beharie,898
Sanaa Lathan,886
LeVar Burton,1000
David Hyde Pierce,443
Jeremy Irvine,25000
Michael Biehn,2000
Frank Langella,903
Gary Cole,989
Theo James,5000
James Martin Kelly,394
LL Cool J,1000
Talisa Soto,349
Ron Howard,2000
Lea Michele,2000
Charlotte Rampling,844
Roxanne McKee,576
Vincent Pastore,584
Max Minghella,614
Jenna Fischer,966
Michael Raymond-James,788
Rufus Sewell,3000
Will Patton,537
Hector Elizondo,995
Colin Firth,14000
Rami Malek,3000
Goran Visnjic,1000
Judge Reinhold,901
Finn Wittrock,769
Clint Eastwood,16000
Delroy Lindo,848
Sayed Badreya,600
Quvenzhané Wallis,2000
Lea Thompson,1000
Maura Tierney,509
Melina Kanakaredes,394
Pamela Reed,324
Michael Rapaport,975
Caitlin Stasey,623
Ian McNeice,268
Michael Kelly,963
Michael Smiley,177
Verne Troyer,645
Wayne Knight,967
Si Won Choi,21
Shawna Waldron,524
Craig Stark,46000
Eric Dane,2000
Jill Hennessy,419
Patrick Fugit,835
Izabella Scorupco,394
Daniel von Bargen,577
Natascha McElhone,2000
Anjelica Huston,1000
Carol Ann Susi,3000
Dorian Missick,1000
Taylor Lautner,12000
Ki Hong Lee,988
Billy Burke,2000
Misha Gabriel Hamilton,433
Estella Warren,658
Jennifer Saunders,309
Zooey Deschanel,11000
Snoop Dogg,881
Jim Belushi,854
James Babson,366
Ivana Milicevic,834
Emma Watson,9000
Bianca Kajlich,732
Romany Malco,966
Peter Greene,789
Colm Feore,539
Gary Dourdan,1000
Tate Donovan,650
Isaac Hempstead Wright,874
Eileen Brennan,1000
Ryan Gosling,33000
Olivia Wilde,10000
Steven Anthony Lawrence,1000
Blair Brown,310
Cedric the Entertainer,436
Bojana Novakovic,2000
John Kapelos,510
Sunny Mabrey,287
Josh Wingate,865
Sean Pertwee,722
Clifton Collins Jr.,968
Robert Forster,889
Matt Bomer,20000
Marc Blucas,973
Dougray Scott,794
Kelly Preston,743
Odeya Rush,2000
Nate Richert,870
Jon Heder,970
Taylor Negron,1000
Robert Baker,142
Barry Corbin,883
Jesse McCartney,1000
Marlon Brando,10000
Alyson Hannigan,3000
Mila Kunis,15000
Eric Idle,795
Erika Christensen,931
David Carradine,926
Christopher Judge,847
Xander Berkeley,485
Madeline Carroll,1000
Charles S. Dutton,534
Andrea Corr,57
Tom Wilkinson,1000
Julie Walters,838
Eddie Redmayne,13000
Billy Campbell,789
Stephen Root,939
Sophia Myles,956
Denis Lavant,226
James Mason,617
Norman Reedus,12000
Todd Stashwick,277
Margot Kidder,593
Todd Giebenhain,117
Kirsten Dunst,4000
Quentin Tarantino,16000
Jennifer Ehle,1000
Alice Greczyn,631
Matt Price,134
Kasia Smutniak,211
Jaime King,961
Rob Paulsen,677
Kathleen Freeman,145
Lupe Ontiveros,625
Joel Courtney,1000
Bill Duke,1000
Dylan Walsh,426
Fann Wong,154
Bernard Hill,416
Scoot McNairy,660
Olivier Martinez,838
Alex Pettyfer,15000
Viggo Mortensen,10000
Deborah Kara Unger,495
Radha Mitchell,992
Matt Walsh,490
Louis Lombardi,437
Armin Mueller-Stahl,294
Mike Starr,854
Amber Valletta,627
Shô Kosugi,330
David Jason,325
Muse Watson,45000
J.D. Evermore,430
Grey Damon,629
Christina Milian,1000
Paul Brooke,51
Mia Kirshner,972
Julie Benz,3000
Ian Ziering,984
Alden Ehrenreich,1000
Chris Klein,841
Tobias Menzies,1000
Lauren Holly,879
Michael O'Neill,599
P.J. Soles,598
Corinna Harney,779
Nandita Das,113
Charlie Korsmo,678
Mark Margolis,1000
Rosie Perez,919
Donatas Banionis,29
Joseph Gilgun,788
Laurence Olivier,1000
Jonathan Winters,924
Regina Hall,807
Candice Bergen,545
Bradley Whitford,821
Natasha Lyonne,1000
Bill Cobbs,970
Sydney Pollack,521
Adam Garcia,811
Lucille Ball,6000
Dania Ramirez,1000
Demián Bichir,749
Richard Burgi,550
Kevin McNally,427
Virginia Madsen,913
Jim Sturgess,5000
Alexa PenaVega,2000
John de Lancie,905
Malese Jow,1000
Costas Mandylor,723
Marcela Mar,267
Pierre Perrier,164
Sam Waterston,849
Daniel Kaluuya,219
Clea DuVall,1000
Mel Blanc,1000
Judith Chapman,44
Augustus Prew,405
Imelda Staunton,579
John Witherspoon,723
Debra Messing,650
Bono,468
Robert Davi,683
Fisher Stevens,922
Tony Cox,624
Omar Sy,1000
Mekhi Phifer,1000
Jamel Debbouze,326
Julian Sands,687
Robert Clohessy,107
Joel McHale,734
Martin Kove,668
Bruce Greenwood,984
Tom Welling,3000
Jerry Ferrara,480
Javier Botet,1000
Andrew Garfield,10000
Carmen Perez,97
Beau Mirchoff,2000
Kelly Rutherford,287
Olivia Munn,2000
Wes Studi,855
Bokeem Woodbine,904
Jason Alexander,700
Sally Kirkland,433
Matthew Perry,2000
Krista Allen,164000
Joaquim de Almeida,578
Pink,836
Lisa Ann Walter,1000
Michael Jai White,2000
Rudy Youngblood,708
Joe Don Baker,387
Topher Grace,2000
Brian Dennehy,954
Gena Rowlands,545
Busy Philipps,1000
Johnny Cannizzaro,880
Lorraine Bracco,472
Sam Trammell,1000
Macaulay Culkin,3000
Bobby Lee,176
Miriam Margolyes,405
Alison Brie,2000
Michael Wincott,720
James Wilcox,683
Emma Bell,703
Jimmy Fallon,787
Bruce Dinsmore,51
Noah Bean,293
50 Cent,1000
Oliver Hudson,607
Catherine Deneuve,964
Stephen Rea,327
Jordi Mollà,877
Mira Sorvino,978
Dane Cook,1000
Bobbie Phillips,16000
Carol Kane,636
Richard Epcar,782
Mathieu Kassovitz,326
Mary-Kate Olsen,976
Omar Epps,865
Justin Theroux,1000
M. Emmet Walsh,521
Bridgette Wilson-Sampras,545
John Gatins,61
Sarah Roemer,884
James Brolin,499
Jennifer Jason Leigh,1000
Jay Hernandez,1000
Tamannaah Bhatia,218
Arliss Howard,152
Colin Ferguson,747
Adam Baldwin,2000
Takeshi Kaneshiro,755
Ethan Embry,982
Austin Pendleton,592
Tony Chiu Wai Leung,643
Blythe Auffarth,76
Sarah Silverman,931
D.B. Woodside,598
Sonia Braga,308
Beth Grant,628
Mo'Nique,940
Wilford Brimley,957
Gregory Scott Cummins,37
Tom Skerritt,1000
Mike Howard,378
Hayden Christensen,4000
Patton Oswalt,786
Laura-Leigh,740
Yuliya Snigir,463
Kathleen Quinlan,551
Bernie Casey,180
Charlie McDermott,496
Rick Yune,746
Blair Underwood,685
Stockard Channing,944
Cheryl Hines,541
Mike Tyson,461
Rene Russo,808
Catherine Dyer,768
Jon Foo,778
Amy Schumer,492
Michael Angarano,947
Natasha Henstridge,900
Dylan Baker,812
Scott Glenn,826
Charlyne Yi,529
Craig Parker,978
Heather O'Rourke,887
Danneel Ackles,1000
Ashley Williams,969
Jodi Lyn O'Keefe,897
Tatum O'Neal,288
Emilia Fox,396
Keisha Castle-Hughes,446
Robert Ri'chard,730
Aaliyah,775
Brian Blessed,591
Cicely Tyson,907
Daniel Mays,287
Frank Whaley,436
Mitch Pileggi,826
Ken Arnold,327
Drake Bell,1000
Alona Tal,1000
Shannon Elizabeth,1000
Jim Gaffigan,472
Alex Russell,465
Rosanna Arquette,605
Tim Meadows,553
Gregory Smith,694
Michiel Huisman,2000
Paul Sorvino,635
Mireille Enos,1000
Kevin Zegers,2000
Marley Shelton,690
Archie Panjabi,883
Ruth Wilson,2000
Oliver Reed,695
Olivier Martinez,837
Jeremy W. Auman,3
Maricel Álvarez,30
Tamsin Egerton,621
Richard E. Grant,554
David Paymer,372
Rumi Hiiragi,6
Tiago Riani,989
Liam Aiken,818
Terry Pheto,113
Nia Long,826
Kyle Hebert,324
Ryan Guzman,3000
Lin Shaye,852
Laura Harring,669
Ryan Kruger,165
James Coburn,773
Ana de la Reguera,678
Matt Lucas,722
Brandon T. Jackson,918
Illeana Douglas,344
Callum Rennie,716
Ken Howard,649
Frances Fisher,638
Alice Braga,1000
George Kennedy,3000
Joan Plowright,330
Rob Riggle,839
Alicia Witt,975
Desmond Llewelyn,244
Sharlto Copley,2000
John Doman,616
Emily Osment,1000
Elizabeth Daily,971
George Carlin,769
Hope Davis,442
Cory Hardrict,303
Zach Gilford,971
Josh Charles,1000
Tina Fey,2000
Antony Starr,506
Kurt Fuller,617
Brenda Song,1000
Patrick Macnee,1000
Mark Gatiss,567
Kate Upton,971
Mehcad Brooks,696
Edgar Arreola,455
Alyson Stoner,2000
Faizon Love,585
Danny Huston,430
Carmen Electra,869
Yaphet Kotto,581
Jessica Barden,157
Brian Thompson,663
Debi Mazar,680
Devin Ratray,1000
Craig Ferguson,759
Warren Beatty,631
Tika Sumpter,521
Rainn Wilson,973
Sarah Polley,900
Eddie Cibrian,849
Jessica Paré,489
Grace Phipps,596
Saffron Burrows,811
Ian Whyte,473
Annabella Sciorra,448
Ólafur Darri Ólafsson,147
Tyler Labine,779
Emir Kusturica,2000
Emily Watson,876
Dong-gun Jang,489
Steve Howey,826
Louise Bourgoin,295
Paz Vega,963
Konstantin Khabenskiy,114
Sandra Ellis Lafferty,523
Amanda Schull,757
Lisa Edelstein,955
Dick Clark,504
Aldis Hodge,559
Joe Lo Truglio,833
Eddie Cahill,639
Shun Oguri,173
Julian Glover,844
Lilli Lavine,11
Mia Sara,664
David Lyons,576
Vinessa Shaw,580
Zoë Kravitz,943
Elizabeth McGovern,553
Bianca Kajlich,731
Talulah Riley,422
Philip Baker Hall,497
Jacques Perrin,63
Samaire Armstrong,806
Scott Grimes,738
Mara Wilson,1000
Dominic Flores,1000
Matt Smith,2000
Tenzin Thuthob Tsarong,2
Louis Jourdan,594
Harold Ramis,11000
Richard Wilson,358
Phil Davis,386
Ellen Burstyn,1000
John Belushi,1000
America Ferrera,953
Dolly Parton,1000
Sharon Small,66
Gerald McRaney,523
Jackie Gleason,491
Piper Laurie,303
Harry Lennix,748
Meat Loaf,783
Kim-Marie Woodhouse,5
Erick Avari,567
Rob McElhenney,813
Ryan O'Neal,385
Robert Pine,332
Sarah Carter,748
Daniel Roebuck,1000
Pam Ferris,771
Rip Torn,826
Christopher Lambert,1000
David Conrad,642
Woody Allen,11000
Paul Hogan,442
Christo Jivkov,260
Luke Bracey,775
Katharine Isabelle,918
Cara Delevingne,554
Mike Vogel,2000
Kevin Nash,642
Bruce McGill,655
Lena Olin,541
Mary Lynn Rajskub,934
Bailee Madison,3000
Lee Remick,264
Chelan Simmons,440
Blythe Danner,713
Darcy Donavan,640000
Kelly Preston,742
Heather Locklear,695
Jim Meskimen,272
Dave Chappelle,744
Nicki Aycox,296
Lily Atkinson,328
Nicholas Gonzalez,601
Fanny Ardant,288
Alexis Arquette,285
Joseph Cotten,469
Ari Graynor,904
Jere Burns,460
Connie Ray,90
Aimee Garcia,618
Justin Fletcher,45
Claudia Christian,462
Tyler James Williams,931
Dianne Wiest,967
Stephen Dillane,577
Frank Langella,902
Laura Ramsey,960
Mark Valley,774
Frank Grillo,798
Chris Marquette,355
Martin Starr,985
Sissy Spacek,874
Chris Zylka,963
Frank Finlay,338
Marco Treviño,562
Victor Wong,400
Dany Boon,172
Tom Berenger,854
John Doe,181
Kyra Sedgwick,941
Alexander Skarsgård,10000
Brian Bosworth,174
Tanya Roberts,433
Cheech Marin,843
Donald Faison,927
Don McKellar,45
Dallas Barnett,473
Zoe Kazan,962
François Cluzet,541
Scout Taylor-Compton,908
Yolande Moreau,44
Sergey Garmash,21
Rod Steiger,279
Siu-Wong Fan,79
Minnie Driver,893
Gerry Bednob,218
Lena Horne,738
Willie Garson,512
Donald Pleasence,742
Seymour Cassel,327
Judith Barsi,912
Tasha Smith,721
Alessandro Nivola,527
Tom Burke,201
Cole Hauser,787
Romola Garai,805
Bingbing Fan,556
Drew Powell,129
Joan Rivers,1000
Cem Yilmaz,523
Louis Lombardi,436
Manish Dayal,820
Roma Downey,329
Sophia Myles,955
Denis O'Hare,896
Carlos Ponce,591
Jack Reynor,390
Radivoje Bukvic,150
Amanda Detmer,240
Zachary Gordon,975
Rock Hudson,638
Ed Skrein,805
Gary Lewis,203
Romain Duris,809
Pablo Rago,20
Ornella Muti,385
Paige Turco,533
Hunter Parrish,2000
Omari Hardwick,1000
Jason London,711
Chris Harrison,98
Elaine Hendrix,670
Bob Balaban,559
Ian Somerhalder,16000
Dean Stockwell,936
Angus T. Jones,1000
Bam Margera,608
Mackenzie Foy,6000
Miranda Cosgrove,2000
Shailene Woodley,8000
Leonard Roberts,962
Sam Claflin,11000
John Amos,982
Barry Watson,526
Kath Soucie,304
Lamman Rucker,607
Billy Crudup,745
Richard Lawson,508
Violante Placido,978
Jon Seda,565
Diedrich Bader,759
Jeremy Shada,860
Gunnar Hansen,383
William McNamara,10000
Marisa Saks,31000
Peter Firth,141
Isaiah Washington,534
Sela Ward,812
Johnny Lewis,741
Kay Panabaker,720
Jay Laga'aia,125
Leighton Meester,3000
Kevin Sussman,681
Kurtwood Smith,1000
Samira Wiley,646
Sheryl Lee,2000
Pablo Sevilla,0
Janet Leigh,606
Mako,691
Radha Mitchell,991
Shengyi Huang,264
Leah Remini,909
Mustafa Haidari,283
Thomas Lennon,651
Andy Dick,302
Ronald Reagan,1000
Andrew Fiscella,137000
James Callis,541
Aasif Mandvi,346
Taylor Cole,969
Quinton Aaron,734
Aisha Tyler,856
Scott Baio,650
Debbie Reynolds,786
Sammy Davis Jr.,683
Martin Dew,204
Chris Brown,997
Chriss Anglin,885
Kevin Alejandro,1000
Catherine Lough Haggquist,310
Cameron Bright,829
Landon Liboiron,1000
Dylan Authors,20
Isabelle Adjani,572
Steve Guttenberg,801
Donny Boaz,2000
Damon Wayans,836
William Hootkins,488
Esai Morales,699
Jiao Xu,46
Christian Clavier,106
Marco St. John,403
Peter Vaughan,310
Necar Zadegan,344
Andy Lau,483
Mani Bharathi,109
Joey D. Vieira,729
Moritz Bleibtreu,486
Mary McDonnell,933
Dan Byrd,1000
David Arquette,611
Scatman Crothers,888
Jeffrey Combs,885
Eric Mendenhall,607
Kari J. Kramer,731
Taran Killam,500
Mem Ferda,31000
Nicole 'Snooki' Polizzi,341
Bunta Sugawara,17
Katrina Bowden,948
Darci Kistler,2
Tony Nappo,654
Louis Koo,82
Craig Roberts,920
Luenell,332
Linda Cardellini,2000
Craig T. Nelson,723
Nia Vardalos,567
Shane Black,1000
Jeffrey Jones,692
Raoul Bova,727
Kristin Scott Thomas,1000
Peter Gallagher,828
Sally Hawkins,594
Christian Clemenson,97
Christian Monzon,2000
Hulk Hogan,844
Bob Newhart,643
Collette Wolfe,390
Nicholas Rowe,155
Kelsey Grammer,808
Alan Ruck,946
Jason Robards,372
Nancy Allen,517
Rebecca Budig,210
Joan Allen,805
Yaya DaCosta,712
David Margulies,567
Ian McDiarmid,1000
David Masterson,577
Tadanobu Asano,627
Barry Bostwick,456
Julie Christie,597
Bruce Greenwood,989
Poppy Montgomery,654
Ulrich Tukur,63
James Hetfield,364
Austin Nichols,663
Edgar Ramírez,897
Takuya Kimura,84
Greg Nicotero,1000
Ernie Reyes Jr.,444
Vanessa Ferlito,923
Jason Momoa,11000
Cassie Ventura,158
Henry Ian Cusick,866
Jennifer Hudson,549
Kirk Fox,109
Fionnula Flanagan,482
Jeremy Brett,453
Virginia Madsen,912
Chris Moss,33000
Emmanuelle Vaugier,1000
Kevin Grevioux,593
Morgan Saylor,427
T.I.,680
Thomas F. Wilson,690
Ava Gardner,715
Lou Taylor Pucci,394
DeRay Davis,328
Aidan Quinn,767
Tippi Hedren,634
Brenda Fricker,214
Julianna Guill,465
Hal Holbrook,826
Danny Strong,714
Bruno Kirby,227
Ethan Suplee,1000
Bérénice Bejo,996
Clive Russell,241
Jennifer Esposito,911
Ivana Baquero,634
Leslie Bibb,1000
Mo'Nique,939
Brittany Daniel,861
Bolo Yeung,633
Bill Bailey,175
Gustaf Skarsgård,908
Gretchen Mol,599
Farrah Fawcett,1000
Lochlyn Munro,555
Alison Lohman,1000
Charles Napier,503
Paz de la Huerta,488
Steven Van Zandt,422
David Alpay,232
Bruce Dern,844
Carole Bouquet,235
Dustin Milligan,499
Chen Chang,103
Bex Taylor-Klaus,460
Nicole Dionne,94
Beverly D'Angelo,816
Jackson Nicoll,925
Roger Allam,326
Frankie Muniz,934
Clayton Snyder,925
Jordana Brewster,4000
Rae'Ven Kelly,90
Claude Rains,607
Tony Goldwyn,956
Jack Davenport,1000
Jessie T. Usher,116
Kim Director,193
Christine Taylor,838
Sierra McCormick,512
Kieran Culkin,1000
Jeff Kober,919
William Hurt,882
Kelly Carlson,472
Jason Priestley,471
Yuri Lowenthal,354
Daniel Stern,796
Trevor Morgan,595
Oliver James,1000
David Ogden Stiers,443
Khandi Alexander,556
Elizabeth Berrington,65
Larry David,860
Matthew Settle,477
Levon Helm,572
Anna Silk,857
Thomas Kretschmann,918
Curtis Armstrong,876
Thomas Stroppel,192
Brigitte Helm,136
David Belle,510
Qi Shu,1000
Konstantin Lavronenko,20
Nirut Sirichanya,64
Christopher Heyerdahl,825
Eddie Izzard,776
Stephen Graham,1000
Anna Friel,735
Birgitte Hjort Sørensen,1000
Bruce Payne,179
Maximilian Dirr,61
Samantha Morton,631
Sharon Leal,467
Anil Kapoor,668
Fred Gwynne,886
María Valverde,892
Doug E. Doug,953
Jensen Ackles,10000
Caroline Munro,456
Amy Bruni,155
Phil Vischer,23
Janet Jackson,592
Mike Epps,706
Linda Blair,931
Lily Tomlin,718
Peter Mensah,1000
Monica Potter,878
Thomas McDonell,962
Emmanuelle Seigner,413
Derek Luke,543
Melissa Sagemiller,159
Seth Gilliam,423
Lesley Manville,149
Mathieu Amalric,412
Sebastian Koch,380
Woo-sung Jung,149
John Heard,697
Krystyna Janda,20
Jacek Koman,70
Belén Rueda,273
Jason Mewes,898
Usher Raymond,569
Sean Patrick Thomas,656
Tuesday Knight,130
Jack Palance,549
Óscar Jaenada,619
Chris Elliott,571
Kathleen Turner,899
Jenny Agutter,659
Elina Alminas,149
Teo Halm,803
Yuki Matsuzaki,378
Don Rickles,721
Michael Nyqvist,690
Justin Chon,552
Burt Young,683
John Boyega,1000
Jelena Jovanova,306
Steve Irwin,477
Dameon Clarke,170
Rae Dawn Chong,581
Gabriel Millman,13000
Julian Morris,1000
David Niven,490
Richard Johnson,77
Catherine Deneuve,963
Isabella Rossellini,812
Min-sik Choi,717
Sean Young,759
Alex Veadov,93
Shelley Duvall,629
Britney Spears,1000
Dax Flame,971
George C. Scott,654
Steven Mackintosh,227
Lexie Contursi,28
Talia Shire,452
Illeana Douglas,347
Tammin Sursok,836
Nat Wolff,733
Common,988
Jürgen Prochnow,362
Heather Matarazzo,529
Tom Hughes,565
Nate Parker,664
Gary Weeks,452
Melanie Griffith,537
Jill Clayburgh,433
Anika Noni Rose,525
Doona Bae,629
Jeremy Davies,769
Toni Servillo,211
Mia Wasikowska,3000
Li Gong,878
David Richmond-Peck,60
Eamonn Walker,706
Eva Amurri Martino,797
Marcell Nagy,9
Honglei Sun,9
David Hewlett,686
Ye Liu,52
Richard Coyle,567
Rachael Carpani,181
Jacob Vargas,399
Gary Daniels,551
Miko Hughes,969
Tatsuo Matsumura,15
Wei Tang,215
Phoebe Cates,767
Wagner Moura,585
Lucas Grabeel,755
Zoe Ventoura,84
Corbin Bernsen,1000
Lily Cole,785
Lauren German,683
Lois Smith,276
Madeline Kahn,1000
Steven Bauer,636
Louise Fletcher,425
Lee Majors,799
Luke Newberry,358
Patricia Tallman,901
Jaime King,960
Michael McKean,658
Phyllida Law,60
Sam Riley,845
John Cassavetes,917
Nora Dunn,142
John Howard,172
Shah Rukh Khan,8000
Keir Dullea,273
Henry Thomas,861
Ricky Schroder,665
Antonia Thomas,381
Arjun Rampal,564
Jon Gries,482
Santiago Cabrera,639
Karin Viard,68
Deborah Kara Unger,494
Boris Kodjoe,1000
Richard Burton,726
Lane Smith,633
Tina Turner,794
Lauren Cohan,4000
Jeff Fahey,535
Laila Haley,1000
Billy Drago,371
Jurnee Smollett-Bell,2000
David Zayas,929
Tina Desai,220
Julia Ormond,918
Ben Feldman,1000
Steve Oedekerk,176
Reba McEntire,651
Byron Mann,258
Wendi McLendon-Covey,655
Harry Styles,773
Chase Ellison,772
Jasper Cole,1000
Sophie Okonedo,460
Michaela Conlin,1000
Daniel Sharman,1000
Johannes Silberschneider,24
Dylan Moran,427
Bernadette Peters,753
Flavio Parenti,144
Robert Picardo,823
Peter Fonda,402
Eric Stoltz,902
Cliff Robertson,754
Scott Mechlowicz,634
Gillian White,1000
Eoin Macken,533
Miranda Richardson,530
Naseeruddin Shah,307
Bruce Greenwood,990
Bashar Rahal,603
Wei Zhao,478
Vincent Gallo,787
Isabelle Huppert,678
Numan Acar,374
Kip Pardue,374
Danny Dyer,798
Jorge Luis Moreno,78
Adrian Martinez,806
Stephanie Szostak,1000
Madison Pettis,835
Nicholas Hamilton,147
Drew Fuller,906
Jim Carter,439
Damian Walshe-Howling,122
Teryl Rothery,298
Shane Pollard,485
Veronica Ferres,30000
Ingvar Eggert Sigurðsson,63
Sendhil Ramamurthy,1000
Jimi Mistry,183
Kang-ho Song,398
Tyler Mane,764
Danny Pino,786
Daniella Alonso,557
Carmen Maura,148
John Vernon,187
Jizelle Jade,33000
Bárbara Mori,594
Noah Taylor,509
Topol,402
Riccardo Scamarcio,580
Catherine Hicks,311
Michael Moore,909
Noel Gugliemi,2000
Don Ameche,392
Kristin Lehman,187
Ronn Moss,177
Emma Bell,702
Jung-min Hwang,45
Sarunyu Wongkrachang,7
Lambert Wilson,186
Q'orianka Kilcher,679
Jacqueline McKenzie,185
